year,topic,papers,decisions,acceptance_rate,reviewed,mean_score,mean_disagreement,high_disagreement_rate
2021,continual learning,32,32,0.375,31,5.568817204301075,0.9481679258603606,0.0625
2021,diffusion models,4,4,0.5,4,6.0625,0.8260401789278367,0.0
2021,explainability,15,15,0.3333333333333333,14,5.560714285714285,0.7393807143889992,0.0
2021,fairness,12,12,0.3333333333333333,12,5.715277777777778,0.7881527375821182,0.0
2021,federated learning,30,30,0.3,30,5.0649999999999995,0.8026701757947401,0.06666666666666667
2021,few-shot learning,32,32,0.28125,32,5.3578125,0.849305896402223,0.03125
2021,graphs,107,107,0.2616822429906542,106,5.421383647798741,0.9689680042245845,0.056074766355140186
2021,imitation learning,17,17,0.5294117647058824,17,5.7480392156862745,0.8538012913606106,0.0
2021,interpretability,25,25,0.36,25,5.220666666666666,0.8835342027429074,0.0
2021,knowledge distillation,15,15,0.26666666666666666,15,5.316666666666666,0.8824948079187199,0.06666666666666667
2021,knowledge graphs,13,13,0.15384615384615385,13,4.891025641025641,0.8222838381641051,0.0
2021,language models,82,82,0.3902439024390244,81,5.412757201646091,0.8826637033479727,0.036585365853658534
2021,meta learning,58,58,0.25862068965517243,58,5.411494252873563,0.783979177347656,0.0
2021,model-based RL,15,15,0.3333333333333333,15,5.345555555555555,0.9719834633757822,0.06666666666666667
2021,multi-agent RL,23,23,0.391304347826087,23,5.489130434782608,1.0188888035139672,0.043478260869565216
2021,multi-task learning,17,17,0.5882352941176471,17,5.7558823529411764,0.8637258947024036,0.0
2021,neural architecture search,36,36,0.1388888888888889,35,5.19047619047619,0.7803027064930519,0.027777777777777776
2021,neuroscience,7,7,0.42857142857142855,7,6.25,0.8917249333072953,0.0
2021,object detection,27,27,0.25925925925925924,26,5.1551282051282055,0.8311686421387793,0.0
2021,offline RL,12,12,0.5,12,5.831944444444445,0.869545523902517,0.0
2021,optimal transport,11,11,0.36363636363636365,11,5.621212121212121,0.9396050691610411,0.0
2021,optimization,85,85,0.3411764705882353,84,5.537698412698413,0.847865392267774,0.03529411764705882
2021,out-of-distribution,27,27,0.3333333333333333,27,5.567901234567902,0.903441504066186,0.07407407407407407
2021,privacy,15,15,0.13333333333333333,15,5.227777777777778,0.9126444563096571,0.0
2021,pruning,27,27,0.2962962962962963,27,5.524691358024691,0.8930634091571307,0.037037037037037035
2021,robustness,33,33,0.2727272727272727,32,5.394791666666666,0.9358933782613745,0.030303030303030304
2021,safety,7,7,0.2857142857142857,7,5.485714285714286,0.7047194329616489,0.0
2021,self-supervised learning,69,69,0.43478260869565216,68,5.668627450980392,0.818480122984653,0.014492753623188406
2021,semi-supervised learning,23,23,0.2608695652173913,23,5.268840579710145,0.8578673499176577,0.043478260869565216
2021,time series,9,9,0.4444444444444444,9,5.666666666666667,1.1250647104273108,0.0
2021,transfer learning,54,54,0.2222222222222222,53,5.255974842767295,0.80606812248542,0.018518518518518517
2021,transformers,55,55,0.2909090909090909,54,5.376234567901235,0.7759793005240858,0.01818181818181818
2022,CNNs,31,31,0.2903225806451613,30,5.203888888888889,0.9802279175805325,0.0967741935483871
2022,GANs,38,38,0.5,38,5.632017543859649,0.9191591050916872,0.02631578947368421
2022,LLMs,26,26,0.38461538461538464,25,5.22,1.009195480433462,0.038461538461538464
2022,RL,176,176,0.3409090909090909,175,5.36756462585034,1.0652698734193409,0.09090909090909091
2022,RNNs,30,30,0.23333333333333334,29,4.956321839080459,1.050055576765137,0.1
2022,ViTs,36,36,0.5555555555555556,36,5.775925925925926,0.9290005584216523,0.05555555555555555
2022,active learning,22,22,0.18181818181818182,22,4.999242424242424,0.9583410636619004,0.045454545454545456
2022,adversarial,131,131,0.25190839694656486,130,5.174358974358974,1.0750088332189185,0.1297709923664122
2022,alignment,5,5,0.6,5,5.8,0.9377692973058686,0.0
2022,anomaly detection,13,13,0.15384615384615385,13,4.869230769230769,0.9592059141317955,0.07692307692307693
2022,autoencoders,44,44,0.38636363636363635,44,5.266287878787879,1.0543347401500898,0.11363636363636363
2022,autonomous driving,3,3,0.3333333333333333,3,4.75,1.515118919536001,0.3333333333333333
2022,causality,31,31,0.3225806451612903,30,5.035,1.0233018205248672,0.06451612903225806
2022,clustering,15,15,0.2,15,4.933333333333334,0.9622044522289561,0.06666666666666667
2022,code generation,8,8,0.375,8,5.73125,1.0140374726577723,0.125
2022,compression,28,28,0.10714285714285714,28,4.872619047619048,1.146187399545653,0.10714285714285714
2022,continual learning,53,53,0.39622641509433965,53,5.096855345911949,1.1236365332305187,0.1320754716981132
2022,diffusion models,12,12,0.5833333333333334,12,6.154166666666666,1.0344609934638376,0.08333333333333333
2022,explainability,30,30,0.16666666666666666,30,4.941666666666666,0.9976149844073448,0.1
2022,fairness,20,20,0.3,20,5.111666666666666,1.1074072520828213,0.1
2022,federated learning,50,50,0.24,50,4.987666666666667,1.1262092882234882,0.08
2022,few-shot learning,31,31,0.1935483870967742,30,5.009444444444444,0.9445310721924625,0.12903225806451613
2022,graphs,121,121,0.33884297520661155,118,5.280649717514124,0.9282576915444537,0.08264462809917356
2022,imitation learning,18,18,0.5,17,5.526470588235294,0.7338782376781938,0.05555555555555555
2022,interpretability,20,20,0.25,20,4.6258333333333335,1.0115340192640399,0.1
2022,knowledge distillation,23,23,0.34782608695652173,23,5.181884057971015,0.960909001029341,0.08695652173913043
2022,knowledge graphs,12,12,0.5,12,5.543055555555555,0.9158184348768964,0.0
2022,language models,75,75,0.30666666666666664,75,5.199333333333334,1.0355612869101474,0.08
2022,meta learning,42,42,0.4523809523809524,42,5.586111111111111,0.9922806245610613,0.07142857142857142
2022,model-based RL,24,24,0.4583333333333333,22,5.713636363636364,1.1542404207582075,0.08333333333333333
2022,multi-agent RL,37,37,0.2972972972972973,37,5.104954954954954,0.8670496868404308,0.10810810810810811
2022,multi-task learning,20,20,0.25,20,4.884166666666667,0.8212440645202845,0.05
2022,neural architecture search,18,18,0.2777777777777778,18,5.137962962962963,1.0875072792007652,0.16666666666666666
2022,neuroscience,11,11,0.5454545454545454,11,5.636363636363637,1.230056983001099,0.18181818181818182
2022,object detection,30,30,0.3333333333333333,30,5.418333333333334,0.8273008538292451,0.03333333333333333
2022,offline RL,25,25,0.4,25,5.489333333333333,0.8475445837761714,0.0
2022,optimal transport,22,22,0.4090909090909091,22,5.156818181818182,1.1300609740765708,0.13636363636363635
2022,optimization,106,106,0.3584905660377358,102,5.390196078431372,0.9662658317383758,0.09433962264150944
2022,out-of-distribution,52,52,0.23076923076923078,52,5.151923076923077,0.9389389810474433,0.057692307692307696
2022,privacy,36,36,0.3055555555555556,36,5.244907407407407,1.193421348034668,0.08333333333333333
2022,pruning,23,23,0.21739130434782608,22,4.537878787878788,0.9437433249104341,0.0
2022,robustness,29,29,0.1724137931034483,28,4.920833333333333,1.0790090261011156,0.13793103448275862
2022,safety,8,8,0.0,8,4.197916666666667,1.4405915184358922,0.5
2022,self-supervised learning,93,93,0.25806451612903225,93,5.2582437275985665,0.9616591248228162,0.07526881720430108
2022,semi-supervised learning,22,22,0.2727272727272727,22,5.0196969696969695,1.0726592010235143,0.13636363636363635
2022,time series,13,13,0.15384615384615385,13,4.627838827838828,0.8824926965905987,0.0
2022,transfer learning,57,57,0.2982456140350877,57,5.232163742690059,1.072738946161197,0.14035087719298245
2022,transformers,80,80,0.2875,78,5.197863247863248,0.9850881381875137,0.0625
